,BLDG/RM,COURSE,CREDIT,CRN,DAY/TIME,FROM / TO,INSTR.,SECT,STATUS,SUBJ
1298,AMES B204ANDAMES B117,Origins&Evoltn; of ModrnThought,4.00,25092,T11:30AM - 12:45PMANDR11:30AM - 12:45PM,01/14/13 - 04/29/13,"Shepherd, R",MV2,OPEN,HONR
1299,AMES 101Q,Recitation,0.00,25093,R01:00PM - 01:50PM,01/14/13 - 04/29/13,"Shepherd, R",M32,OPEN,HONR
1300,ACAD 101,Origins&Evoltn; of ModrnThought,4.00,25094,TR01:00PM - 02:15PM,01/14/13 - 04/29/13,"Vann, C",MV3,CLOSED,HONR
1301,AMES 101Q,Recitation,0.00,25112,W02:30PM - 03:20PM,01/14/13 - 04/29/13,"Vann, C",M33,CLOSED,HONR
1302,AMES 101Q,Origins&Evoltn; of ModrnThought,4.00,25110,MW01:00PM - 02:15PM,01/14/13 - 04/29/13,"Christov, T",MV4,CLOSED,HONR
1303,ACAD 302,Recitation,0.00,25098,W02:30PM - 03:20PM,01/14/13 - 04/29/13,,M34,CLOSED,HONR
1304,ACAD 200,Origins&Evoltn; of ModrnThought,4.00,25100,MW10:00AM - 11:15AM,01/14/13 - 04/29/13,"Okster, L",MV5,CLOSED,HONR
1305,AMES 101Q,Recitation,0.00,25102,F10:00AM - 10:50AM,01/14/13 - 04/29/13,"Okster, L",M35,CLOSED,HONR
1306,ACAD 306,Origins&Evoltn; of ModrnThought,4.00,25104,TR10:00AM - 11:15AM,01/14/13 - 04/29/13,"Ralkowski, M",MV6,CLOSED,HONR
1307,AMES B112,Recitation,0.00,25106,F02:30PM - 03:20PM,01/14/13 - 04/29/13,"Ralkowski, M",M36,CLOSED,HONR
1308,AMES 101Q,Origins&Evoltn; of ModrnThought,4.00,25107,TR10:00AM - 11:15AM,01/14/13 - 04/29/13,"Okster, L",MV7,OPEN,HONR
1309,AMES 101Q,Recitation,0.00,25108,F11:30AM - 12:20PM,01/14/13 - 04/29/13,"Okster, L",M37,OPEN,HONR
