,BLDG/RM,COURSE,CREDIT,CRN,DAY/TIME,FROM / TO,INSTR.,SECT,STATUS,SUBJ
544,DUQUES 359,Reinforced Concrete Structures,3.00,20078,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"Badie, S",10,OPEN,"CE
	"
545,MON 353,Envir Eng I:Water Resourc&Qual;,3.00,20919,MW12:45PM - 02:00PM,01/14/13 - 04/29/13,"Azam, H",10,OPEN,"CE
	"
546,TOMP 208,Environmental Engineering Lab,1.00,22410,W02:20PM - 04:10PM,01/14/13 - 04/29/13,"Azam, H",10,CLOSED,"CE
	"
547,TOMP 208,Environmental Engineering Lab,1.00,23875,W04:10PM - 06:00PM,01/14/13 - 04/29/13,"Azam, H",11,CLOSED,"CE
	"
548,TOMP 208,Environmental Engineering Lab,1.00,25003,F01:30PM - 03:20PM,01/14/13 - 04/29/13,"Azam, H",12,OPEN,"CE
	"
549,2020 K 15,Hydraulics,3.00,20079,TR09:35AM - 10:50AM,01/14/13 - 04/29/13,"Farhadi, L",10,OPEN,"CE
	"
550,TOMP B02,Hydraulics Laboratory,1.00,21075,T03:40PM - 06:00PM,01/14/13 - 04/29/13,"Shen, J",10,OPEN,"CE
	"
551,TOMP B02,Hydraulics Laboratory,1.00,24587,T06:10PM - 08:40PM,01/14/13 - 04/29/13,"Shen, J",11,OPEN,"CE
	"
552,TOMP B02,Hydraulics Laboratory,1.00,25004,W06:10PM - 08:40PM,01/14/13 - 04/29/13,"Shen, J",12,OPEN,"CE
	"
553,GELM 608,Contracts and Specifications,2.00,22704,W06:10PM - 08:40PM,01/14/13 - 04/29/13,"Piggott, J",10,CLOSED,"CE
	"
554,TOMP 201,Design/Cost Analysis-CE Struct,3.00,23478,M08:30AM - 11:00AM,01/14/13 - 04/29/13,"Silva, P; Herringa, M",10,OPEN,"CE
	"
555,TOMP 201,Recitation,0.00,23949,W09:35AM - 10:25AM,01/14/13 - 04/29/13,"Silva, P",30,OPEN,"CE
	"
556,,Research,1.00,20080,,01/14/13 - 04/29/13,,10,OPEN,"CE
	"
557,PHIL 414A,Advanced Strength of Materials,3.00,22200,T06:10PM - 08:40PM,01/14/13 - 04/29/13,"Critchfield, M",10,OPEN,"CE
	"
558,TOMP 204,Theory of Elasticity I,3.00,22100,W06:10PM - 08:40PM,01/14/13 - 04/29/13,"Everstine, G",80,OPEN,"CE
	"
559,TOMP 204,Theory of Elasticity I,3.00,21782,W06:10PM - 08:40PM,01/14/13 - 04/29/13,"Everstine, G",80,OPEN,"MAE
"
560,2020 K 27,Prestressed Concrete Structure,3.00,26290,R06:10PM - 08:40PM,01/14/13 - 04/29/13,"Badie, S",10,OPEN,"CE
	"
561,MPA 310,"Politics,Society&Media;/Israel",3.00,23552,TR09:35AM - 10:50AM,01/14/13 - 04/29/13,"Yasur-Landau, D",10,OPEN,CLAS
562,,YiddishLitClassicsInTrnslation,3.00,25261,,01/14/13 - 04/29/13,,11,CANCELLED,CLAS
563,DUQUES 250,Iranian Cinema,3.00,25514,T12:45PM - 03:15PM,01/14/13 - 04/29/13,"Minuchehr, P",12,OPEN,CLAS
564,,Biblical Hebrew,3.00,27121,,01/14/13 - 04/29/13,,13,CANCELLED,CLAS
565,GOV 104,Classics and Film,3.00,27261,M05:10PM - 07:00PM,01/14/13 - 04/29/13,"Millan, W",14,OPEN,CLAS
566,1957 E B17,The Roman World to 337 A.D.,3.00,26354,TR12:45PM - 02:00PM,01/14/13 - 04/29/13,"Smith, A; Margolis, M",80,CLOSED,CLAS
567,1957 E B17,The Roman World to 337 A.D.,3.00,26448,TR12:45PM - 02:00PM,01/14/13 - 04/29/13,"Smith, A; Margolis, M",80,CLOSED,HIST
568,,Madness in Ancient Literature,3.00,26356,,01/14/13 - 04/29/13,,10,CANCELLED,CLAS
569,MON 250,The Dead Sea Scrolls,3.00,27383,TR09:35AM - 10:50AM,01/14/13 - 04/29/13,"Rollston, C",80,OPEN,CLAS
570,MON 250,The Dead Sea Scrolls,3.00,27403,TR09:35AM - 10:50AM,01/14/13 - 04/29/13,"Rollston, C",81,OPEN,"REL
"
571,2020 K 20,Gods/Goddesses of AncNearEast,3.00,27384,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Rollston, C",81,OPEN,CLAS
572,2020 K 20,Gods/Goddesses of AncNearEast,3.00,27404,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Rollston, C",82,OPEN,"REL
"
573,GELM 609,Greece & Rome in DC,3.00,26357,W12:45PM - 03:15PM,01/14/13 - 04/29/13,"Friedland, E",10,OPEN,CLAS
574,MON 114ANDCOR 111,Arab Film and Culture,3.00,25390,T11:10AM - 12:25PMANDR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Esseesy, M",10,CLOSED,CLAS
575,,Directed Project,1.00 TO   3.00,26142,,01/14/13 - 04/29/13,"Cline, E",10,OPEN,CLAS
576,,Directed Project,1.00 TO   3.00,21156,,01/14/13 - 04/29/13,"Cline, E",10,OPEN,CLAS
577,,Continuing Research - Masters,1.00,21740,,01/14/13 - 04/29/13,,10,OPEN,CCAS
578,,Continuing Research - Doctoral,1.00,21743,,01/14/13 - 04/29/13,,10,OPEN,CCAS
579,ROME 202,GWECP Advising,0.00,26024,F11:10AM - 12:25PM,01/14/13 - 04/29/13,"Harris, S",10,OPEN,CCAS
580,ROME 459,GWECP Advising,0.00,26025,F02:20PM - 03:35PM,01/14/13 - 04/29/13,"Harris, S",11,OPEN,CCAS
581,,Elective Internship,0.00 TO   3.00,23524,,01/14/13 - 04/29/13,"Weiner, A",10,OPEN,CCAS
582,MON 428,Bridging Public and Private,1.00,24543,T06:30PM - 09:00PM,01/14/13 - 04/29/13,"Kelts, S",10,OPEN,CCAS
583,,SpecialInterdisciplinaryTopics,1.00 TO   3.00,26156,,01/14/13 - 04/29/13,"Gamber, C",11,OPEN,CCAS
584,,Faculty Guided Research:ITAL,3.00,24721,,01/14/13 - 04/29/13,"Westwater, L",10,OPEN,CCAS
585,,Faculty Guided Research:UW,3.00,24743,,01/14/13 - 04/29/13,"Smith, C",11,OPEN,CCAS
586,,Spec Interdisp Major Capstone,3.00,22754,,01/14/13 - 04/29/13,"Ullman, D",10,OPEN,CCAS
587,DUQUES 151,Intro to Communication Studies,3.00,21668,MW09:35AM - 10:50AM,01/14/13 - 04/29/13,"Miller, J",10,CLOSED,COMM
588,GELM B04,Public Communication,3.00,26380,T07:10PM - 09:40PM,01/14/13 - 04/29/13,"Watson, M",10,CLOSED,COMM
589,ROME 202,Public Communication,3.00,20868,W07:10PM - 09:40PM,01/14/13 - 04/29/13,"Schumacher, A",11,OPEN,COMM
590,MON 350,Public Communication,3.00,20869,TR09:35AM - 10:50AM,01/14/13 - 04/29/13,"Froemling, K",12,CLOSED,COMM
591,MON 351,Public Communication,3.00,23369,TR04:45PM - 06:00PM,01/14/13 - 04/29/13,"MacDoniels, J",13,CLOSED,COMM
592,1957 E 315,Public Communication,3.00,23447,M03:30PM - 06:00PM,01/14/13 - 04/29/13,"Schumacher, A",14,CLOSED,COMM
593,1776 G 104,Public Communication,3.00,23880,T07:10PM - 09:40PM,01/14/13 - 04/29/13,"Scott, P",15,OPEN,COMM
594,GOV 104,Public Communication,3.00,24397,F12:45PM - 03:15PM,01/14/13 - 04/29/13,"Tomasovic, S",16,OPEN,COMM
595,DUQUES 250,Public Communication,3.00,27134,TR08:00AM - 09:15AM,01/14/13 - 04/29/13,"Froemling, K",17,OPEN,COMM
596,BELL 108,Public Communication,3.00,27135,R07:10PM - 09:40PM,01/14/13 - 04/29/13,"Tovares, R",18,OPEN,COMM
597,GELM 609,Public Communication,3.00,27136,MW08:00AM - 09:15AM,01/14/13 - 04/29/13,"Hodges, J",19,OPEN,COMM
598,1957 E 112,Public Communication,3.00,27137,MW09:35AM - 10:50AM,01/14/13 - 04/29/13,"Hodges, J",20,CLOSED,COMM
599,1776 G 105,Public Communication,3.00,27250,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"MacDoniels, J",21,CLOSED,COMM
600,DUQUES 250,Interpersonal Communication,3.00,21174,MW04:45PM - 06:00PM,01/14/13 - 04/29/13,"Weiner, A",10,CLOSED,COMM
601,GOV 102,Interpersonal Communication,3.00,21336,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Coultice-Christian, D",11,CLOSED,COMM
602,MON 451,Interpersonal Communication,3.00,23151,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Weiner, A",12,OPEN,COMM
603,MON 451,Interpersonal Communication,3.00,21094,TR08:00AM - 09:15AM,01/14/13 - 04/29/13,"van Iersel, E",13,CLOSED,COMM
604,MON 451,Interpersonal Communication,3.00,21297,TR09:35AM - 10:50AM,01/14/13 - 04/29/13,"Coultice-Christian, D",14,CLOSED,COMM
605,BELL 108,Interpersonal Communication,3.00,27141,T07:10PM - 09:40PM,01/14/13 - 04/29/13,"Hanke, P",15,CLOSED,COMM
606,BELL 108,Interpersonal Communication,3.00,27298,MW09:35AM - 10:50AM,01/14/13 - 04/29/13,"Holaday, K",16,CLOSED,COMM
607,ROME 205,Applications Software,3.00,23777,M03:30PM - 06:00PM,01/14/13 - 04/29/13,"Shaban, H",10,OPEN,CSCI
608,GOV 103,Intro to Computers & Internet,3.00,21534,T06:10PM - 08:40PM,01/14/13 - 04/29/13,"Brenner, N",10,CLOSED,CSCI
609,ROME 205,Intro to Internet Technology,3.00,21587,R06:10PM - 08:40PM,01/14/13 - 04/29/13,"Vidrine, E",10,CLOSED,CSCI
610,ROME 205,Intro to Web Softwr Develpmnt,3.00,21662,W06:10PM - 08:40PM,01/14/13 - 04/29/13,"Brenner, N",10,CLOSED,CSCI
611,PHIL 109,Intro to Fortran Programming,3.00,20141,T12:45PM - 02:00PM,01/14/13 - 04/29/13,"Harrington, R",10,OPEN,CSCI
612,TOMP 410,Laboratory,0.00,21536,F09:35AM - 10:25AM,01/14/13 - 04/29/13,,30,OPEN,CSCI
613,TOMP 410,Laboratory,0.00,21537,M10:30AM - 11:20AM,01/14/13 - 04/29/13,,31,CLOSED,CSCI
614,GOV 104,Intro to Software Development,3.00,22659,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Bari, A",10,OPEN,CSCI
615,TOMP 411,Laboratory,0.00,22660,M01:00PM - 03:00PM,01/14/13 - 04/29/13,"Ukpoma, O",30,OPEN,CSCI
616,TOMP 211,Laboratory,0.00,27068,M01:00PM - 03:00PM,01/14/13 - 04/29/13,,31,OPEN,CSCI
617,PHIL B156,Algorithms & Data Structures,3.00,21819,TR12:45PM - 02:00PM,01/14/13 - 04/29/13,"Bellaachia, A",10,CLOSED,CSCI
618,TOMP 411,Laboratory,0.00,21821,F10:30AM - 12:20PM,01/14/13 - 04/29/13,"Ghafarianzadeh, M",30,OPEN,CSCI
619,TOMP 405,Laboratory,0.00,21822,F01:00PM - 02:50PM,01/14/13 - 04/29/13,"Ghafarianzadeh, M",31,OPEN,CSCI
620,,Laboratory,0.00,27069,,01/14/13 - 04/29/13,,32,CANCELLED,CSCI
621,FNGR 103,Introduction to C Computing,3.00,20872,TR08:00AM - 09:15AM,01/14/13 - 04/29/13,"Bragg, H",10,OPEN,CSCI
622,TOMP 411,Laboratory,0.00,21535,W05:10PM - 06:00PM,01/14/13 - 04/29/13,"Feng, X",30,OPEN,CSCI
623,TOMP 211,Laboratory,0.00,24686,F09:35AM - 10:25AM,01/14/13 - 04/29/13,"Montazeri, S",31,OPEN,CSCI
624,TOMP 411,Laboratory,0.00,22412,M10:30AM - 11:20AM,01/14/13 - 04/29/13,"Montazeri, S",32,OPEN,CSCI
625,TOMP 411,Laboratory,0.00,24572,F09:35AM - 10:25AM,01/14/13 - 04/29/13,"Feng, X",33,OPEN,CSCI
626,MPA 309,Data Structures,3.00,25711,TR12:45PM - 02:00PM,01/14/13 - 04/29/13,"Bragg, H",10,OPEN,CSCI
627,TOMP 411,Laboratory,0.00,25712,W07:30PM - 09:20PM,01/14/13 - 04/29/13,,30,OPEN,CSCI
628,COR 111,Discrete Structures,3.00,21341,TR03:45PM - 05:00PM,01/14/13 - 04/29/13,"Youssef, A",10,OPEN,CSCI
629,1776 G 148,Laboratory,0.00,23252,M11:10AM - 12:00PM,01/14/13 - 04/29/13,,30,OPEN,CSCI
630,1776 G 105,Laboratory,0.00,23288,M12:45PM - 01:35PM,01/14/13 - 04/29/13,,31,OPEN,CSCI
631,COR 106,Software Engineering,3.00,21948,TR12:45PM - 02:00PM,01/14/13 - 04/29/13,"Byun, J",10,OPEN,CSCI
632,TOMP 405,Laboratory,0.00,21949,M08:50AM - 10:00AM,01/14/13 - 04/29/13,"Noda, S",30,OPEN,CSCI
633,TOMP 201,Database Systems&Team; Projects,3.00,23466,TR12:45PM - 02:00PM,01/14/13 - 04/29/13,"Narahari, B",10,OPEN,CSCI
634,TOMP 405,Laboratory,0.00,23467,M06:10PM - 08:00PM,01/14/13 - 04/29/13,"Leontie, R",30,OPEN,CSCI
635,TOMP 410,Laboratory,0.00,24571,W06:10PM - 08:00PM,01/14/13 - 04/29/13,"Leontie, R",31,OPEN,CSCI
636,COR 106,Probablity for Computer Sci,3.00,27071,TR03:45PM - 05:00PM,01/14/13 - 04/29/13,"Monteleoni, C",80,OPEN,CSCI
637,COR 106,Probability for Computer Sci,3.00,27075,TR03:45PM - 05:00PM,01/14/13 - 04/29/13,"Monteleoni, C",80,OPEN,CSCI
638,TOMP 211,Systems Programming,3.00,27145,T06:10PM - 08:40PM,01/14/13 - 04/20/13,"Eisenreich, D",10,OPEN,CSCI
639,TOMP 411,Introduction to Bioinformatics,3.00,23384,TR12:45PM - 02:00PM,01/14/13 - 04/29/13,"Lienau, E",80,OPEN,CSCI
640,TOMP 411,Introduction to Bioinformatics,3.00,23167,TR12:45PM - 02:00PM,01/14/13 - 04/29/13,"Lienau, E",80,OPEN,BISC
641,TOMP 201,Topics in Medical Imaging,3.00,26295,R03:30PM - 06:00PM,01/14/13 - 04/29/13,"Vora, P",81,OPEN,CSCI
642,TOMP 201,Topics in Medical Imaging,3.00,26294,R03:30PM - 06:00PM,01/14/13 - 04/29/13,"Vora, P",81,OPEN,CSCI
643,TOMP 201,Adv Operating & Distrib Sys,3.00,25557,M06:10PM - 08:40PM,01/14/13 - 04/29/13,"Wood, T; Parmer, G",83,OPEN,CSCI
644,TOMP 201,Adv Operating & Distrib Sys,3.00,25556,M06:10PM - 08:40PM,01/14/13 - 04/29/13,"Wood, T; Parmer, G",83,OPEN,CSCI
645,TOMP 211,Robot Games,3.00,25606,W12:45PM - 03:15PM,01/14/13 - 04/29/13,"Sibley, G",84,OPEN,CSCI
646,TOMP 211,Robot Games,3.00,25605,W12:45PM - 03:15PM,01/14/13 - 04/29/13,"Sibley, G",84,OPEN,CSCI
647,COR 111,Intro to Statistical NLP,3.00,26297,T06:10PM - 08:40PM,01/14/13 - 04/29/13,"Diab, M",85,OPEN,CSCI
648,COR 111,Intro to Statistical NLP,3.00,26296,T06:10PM - 08:40PM,01/14/13 - 04/29/13,"Diab, M",85,OPEN,CSCI
649,TOMP 211,Randomized Algorithms,3.00,27159,W03:30PM - 06:00PM,01/14/13 - 04/29/13,"Wee, H",86,OPEN,CSCI
650,TOMP 211,Randomized Algorithms,3.00,27160,W03:30PM - 06:00PM,01/14/13 - 04/29/13,"Wee, H",82,OPEN,CSCI
651,,Continuing Research - Masters,1.00,21400,,01/14/13 - 04/29/13,"Garcia, J",10,OPEN,CNSL
652,,Cont Research - Doctoral,1.00,21450,,01/14/13 - 04/29/13,"Lanthier, R",10,OPEN,CNSL
653,DUQUES 251,Prof/Ethical Orientation-Cnslg,3.00,28214,T05:10PM - 07:00PM,01/14/13 - 04/29/13,"Pasi, R",80,OPEN,CNSL
654,DUQUES 251,Prof & Ethical Orient to CNSL,3.00,24858,T05:10PM - 07:00PM,01/14/13 - 04/29/13,"Pasi, R",80,OPEN,CNSL
655,DUQUES 362ANDDUQUES 362,Sch Fam Comm Partnshp Prac,1.00,24003,F05:00PM - 09:00PMANDS09:00AM - 05:00PM,01/18/13 - 01/19/13,"Bryan, J",10,OPEN,CNSL
656,MPA 302ANDROME 351,Clsrm/Beh Mgt for School Cnsls,1.00,24004,F05:00PM - 09:00PMANDS09:00AM - 05:00PM,03/22/13 - 03/23/13,"Ernest, B",11,OPEN,CNSL
657,ROME 202ANDROME 202,Schl Counseling/CollegeAccess,1.00,24508,F05:00PM - 09:00PMANDS09:00AM - 05:00PM,04/19/13 - 04/20/13,"Bryan, J",12,OPEN,CNSL
658,,CareerChanges and Transitions,1.00,26608,,01/14/13 - 04/29/13,,13,CANCELLED,CNSL
659,,Psychopathology and Film,1.00,27281,,02/08/13 - 02/09/13,,14,CANCELLED,CNSL
660,,Research and Independent Study,1.00 TO   3.00,20123,,01/14/13 - 04/29/13,"Garcia, J",10,OPEN,CNSL
661,,Research and Independent Study,1.00 TO   3.00,20568,,01/14/13 - 04/29/13,"Heddesheimer, J",11,OPEN,CNSL
662,,Research and Independent Study,1.00 TO   3.00,20569,,01/14/13 - 04/29/13,"Hoare, C",12,OPEN,CNSL
663,,Research and Independent Study,1.00 TO   3.00,20570,,01/14/13 - 04/29/13,"Megivern, M",13,CLOSED,CNSL
664,,Research and Independent Study,1.00 TO   3.00,20571,,01/14/13 - 04/29/13,"Hergenrather, K",14,OPEN,CNSL
665,,Research and Independent Study,1.00 TO   3.00,20584,,01/14/13 - 04/29/13,"Marotta-Walters, S",15,OPEN,CNSL
666,,Research and Independent Study,1.00 TO   3.00,21250,,01/14/13 - 04/29/13,"Lanthier, R",16,OPEN,CNSL
667,,Research and Independent Study,1.00 TO   3.00,21394,,01/14/13 - 04/29/13,"Kim, S",17,OPEN,CNSL
668,,Research and Independent Study,1.00 TO   3.00,21462,,01/14/13 - 04/29/13,"Schwallie-Giddis, P",18,CLOSED,CNSL
669,,Research and Independent Study,1.00 TO   3.00,22655,,01/14/13 - 04/29/13,"Beveridge, S",19,OPEN,CNSL
670,,Research and Independent Study,1.00 TO   3.00,23362,,01/14/13 - 04/29/13,"Steen, S",20,OPEN,CNSL
671,DUQUES 251,Prof & Ethical Orient to CNSL,3.00,24858,T05:10PM - 07:00PM,01/14/13 - 04/29/13,"Pasi, R",80,OPEN,CNSL
672,DUQUES 251,Prof/Ethical Orientation-Cnslg,3.00,28214,T05:10PM - 07:00PM,01/14/13 - 04/29/13,"Pasi, R",80,OPEN,CNSL
673,,Continuing Research - Masters,1.00,24439,,01/14/13 - 04/29/13,"Green, C",10,OPEN,CPED
674,,Continuing Research - Doctoral,1.00,24440,,01/14/13 - 04/29/13,,10,OPEN,CPED
675,1776 G 170,Sem in Curriculum&Instruction;,ARR,24441,R03:30PM - 06:00PM,01/14/13 - 04/29/13,"Kortecamp, K",10,OPEN,CPED
676,1957 E B16,Seminar/Rsrch/Curric&Instruc;,1.00,27454,R03:30PM - 06:00PM,01/14/13 - 04/29/13,"Kortecamp, K",11,OPEN,CPED
677,,Research and Independent Study,3.00,24442,,01/14/13 - 04/29/13,"Green, C",10,OPEN,CPED
678,DUQUES 360,Dev Reading: Emergent Literacy,3.00,27317,T05:10PM - 07:00PM,01/14/13 - 04/29/13,"Parlakian, R",10,OPEN,CPED
679,PHIL 414A,Intro. to Intl. Curricula,3.00,26020,W07:10PM - 09:00PM,01/14/13 - 04/29/13,"Reese, J",10,OPEN,CPED
680,,Practicum-Curriculum/Instructn,3.00 TO   6.00,25940,,01/14/13 - 04/29/13,"Tate, P",10,OPEN,CPED
681,,Post-Masters Internship-CPED,3.00 TO   6.00,26907,,01/14/13 - 04/29/13,"Green, C",10,OPEN,CPED
682,ROME 352,Pers & Res in Teach English,3.00,24451,T06:10PM - 08:30PM,01/14/13 - 04/29/13,"Casemore, M",10,OPEN,CPED
683,SWW 224,Pers & Res in Teach Science,3.00,24452,T06:10PM - 08:30PM,01/14/13 - 04/29/13,"Sikorski, T",10,OPEN,CPED
684,ROME 351,Pers&Res; in Teach Soc Studies,3.00,24453,T06:10PM - 08:30PM,01/14/13 - 04/29/13,"Sheppard, M",10,OPEN,CPED
685,FNGR 210,Children's Literature,3.00,24454,R03:30PM - 06:00PM,01/14/13 - 04/29/13,"Sloan, K",10,OPEN,CPED
686,SEE DEPT,Prof Intern in Middle Schl Ed,3.00 TO   6.00,27319,,01/14/13 - 04/29/13,"Sheppard, M",10,OPEN,CPED
687,SEE DEPT,Professional Internship:Sec Ed,3.00 TO   6.00,27320,T04:30PM - 05:30PM,01/14/13 - 04/29/13,"Sheppard, M",10,OPEN,CPED
688,PHIL 510,Development and Diversity,3.00,24472,T06:10PM - 08:00PM,01/14/13 - 04/29/13,"Green, C; Wilson, L",10,OPEN,CPED
689,MON B32,Internshp/Elementary Education,3.00 TO   6.00,24475,T03:30PM - 06:00PM,01/14/13 - 04/29/13,"Balis, S; Beck, S; Elbeze, B; Neverson, P",10,OPEN,CPED
690,1776 G 106,Internshp/Elementary Education,3.00 TO   6.00,24476,T03:30PM - 06:00PM,01/14/13 - 04/29/13,"Rosenbaum, S; Tomback, J; Beck, S; Elbeze, B",11,OPEN,CPED
691,PHIL 110,Internshp/Elementary Education,3.00 TO   6.00,24477,T03:30PM - 06:00PM,01/14/13 - 04/29/13,"Neverson, P; Beck, S; Pasfield, N; Gross, L",12,OPEN,CPED
692,,Research and Independent Study,3.00,24481,,01/14/13 - 04/29/13,"Chamot, A",10,OPEN,CPED
693,DUQUES 251,Statistics for Management,3.00,24354,W07:10PM - 09:40PM,01/14/13 - 04/29/13,"Khamooshi, H",10,OPEN,DNSC
694,DUQUES 250,Procurement & Contracting,3.00,22500,M07:10PM - 09:40PM,01/14/13 - 04/29/13,"Easley, P",10,OPEN,DNSC
695,DUQUES 251,Project Management Finance,3.00,25802,M07:10PM - 09:40PM,01/14/13 - 04/29/13,"Cathey, M",10,OPEN,DNSC
696,DUQUES 250,Opt. Models for Dec. Making,1.50,25804,T07:10PM - 09:40PM,01/14/13 - 03/09/13,"Glickman, T",10,OPEN,DNSC
697,DUQUES 251,Risk Analysis for Dec. Making,1.50,25806,T07:10PM - 09:40PM,03/18/13 - 04/29/13,"Jarrah, A",10,OPEN,DNSC
698,DUQUES 251,Intro to Project & Program Mgt,3.00,22501,R07:10PM - 09:40PM,01/14/13 - 04/29/13,"Kwak, Y",10,OPEN,DNSC
699,DUQUES 250,Planning and Scheduling,3.00,24807,W07:10PM - 09:40PM,01/14/13 - 04/29/13,"Jain, S",10,OPEN,DNSC
700,DUQUES 250,Project Management Application,3.00,22503,R07:10PM - 09:40PM,01/14/13 - 04/29/13,"Khamooshi, H",10,OPEN,DNSC
701,DUQUES 353,Adv Stat. Modeling Analysis,3.00,22506,T06:10PM - 08:40PM,01/14/13 - 04/29/13,"Prasad, S",10,OPEN,DNSC
702,DUQUES 254,Appl'dForecast/TimeSeriesAna,3.00,23084,W04:30PM - 07:00PM,01/14/13 - 04/29/13,"Kim, B",10,OPEN,DNSC
703,DUQUES 651,Sustainable Supply Chains,1.50,23699,R04:30PM - 07:00PM,01/14/13 - 03/09/13,"Matta, M",10,OPEN,DNSC
704,DUQUES 351,Decision Models for Analytics,1.50,24139,W07:10PM - 09:40PM,01/14/13 - 03/09/13,"Prasad, S",11,OPEN,DNSC
705,DUQUES 351,Forecasting Model forAnalytics,1.50,24140,W07:10PM - 09:40PM,03/18/13 - 04/29/13,"Yenigun, D",12,OPEN,DNSC
706,DUQUES 651,Supply Chain Risk Analytics,1.50,26437,M07:10PM - 09:40PM,03/18/13 - 04/29/13,"Prasad, S; Lejeune, M",13,OPEN,DNSC
707,DUQUES 151,Law & Ethics in PM,3.00,26438,T07:10PM - 09:40PM,01/14/13 - 04/29/13,"Diener, K",14,OPEN,DNSC
708,DUQUES 255,Pricing & Revenue Mgt,1.50,27192,R07:10PM - 09:40PM,03/18/13 - 04/29/13,"Altug, M",15,OPEN,DNSC
709,DUQUES 152,Forecasting Models & Analytics,1.50,27193,T07:10PM - 09:40PM,03/18/13 - 04/29/13,"Yenigun, D",16,OPEN,DNSC
710,DUQUES 255,Decision Models for Analytics,1.50,27263,R07:10PM - 09:40PM,01/14/13 - 03/09/13,"Delquie, P",17,OPEN,DNSC
711,,Managing Complex Dynamic Syst,1.50,27550,,03/18/13 - 04/29/13,,18,CANCELLED,DNSC
712,,Directed Readings & Research,3.00,22507,,01/14/13 - 04/29/13,"Yenigun, D",10,OPEN,DNSC
713,SMTH 401B,East Asian Calligraphy,3.00,23183,T07:10PM - 09:40PM,01/14/13 - 04/29/13,"Wang, J",80,CLOSED,EALL
714,SMTH 401B,East Asian Calligraphy,3.00,23561,T07:10PM - 09:40PM,01/14/13 - 04/29/13,"Wang, J",80,CLOSED,"FA
	"
715,1776 G 143,ConfucianLiteratureinEastAsia,3.00,26286,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"Kang, X",80,CLOSED,EALL
716,1776 G 143,ConfucianLiteratureinEastAsia,3.00,26539,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"Kang, X",80,CLOSED,"REL
"
717,,Independent Study,1.00 TO   3.00,23412,,01/14/13 - 04/29/13,"Kim-Renaud, Y",10,OPEN,EALL
718,1957 E 113,Principles of Economics,3.00,20147,MW11:10AM - 12:00PM,01/14/13 - 04/29/13,"Suranovic, S",10,OPEN,ECON
719,PHIL 109,Discussion,0.00,20148,F08:00AM - 08:50AM,01/14/13 - 04/29/13,,30,OPEN,ECON
720,ROME 204,Discussion,0.00,20149,F09:35AM - 10:25AM,01/14/13 - 04/29/13,,31,OPEN,ECON
721,MON 352,Discussion,0.00,20150,F11:10AM - 12:00PM,01/14/13 - 04/29/13,,32,CLOSED,ECON
722,ROME 206,Discussion,0.00,20151,F12:45PM - 01:35PM,01/14/13 - 04/29/13,,33,CLOSED,ECON
723,PHIL 111,Discussion,0.00,20152,F02:20PM - 03:10PM,01/14/13 - 04/29/13,,34,OPEN,ECON
724,ROME 206,Discussion,0.00,20153,F03:55PM - 04:45PM,01/14/13 - 04/29/13,,35,OPEN,ECON
725,ROME 351,Discussion,0.00,23168,F11:10AM - 12:00PM,01/14/13 - 04/29/13,,36,OPEN,ECON
726,PHIL 217,Discussion,0.00,23169,F12:45PM - 01:35PM,01/14/13 - 04/29/13,,37,OPEN,ECON
727,PHIL 306,Discussion,0.00,23170,F02:20PM - 03:10PM,01/14/13 - 04/29/13,,38,OPEN,ECON
728,PHIL 217,Discussion,0.00,24239,R11:10AM - 12:00PM,01/14/13 - 04/29/13,,39,CLOSED,ECON
729,PHIL 217,Discussion,0.00,24240,R12:45PM - 01:35PM,01/14/13 - 04/29/13,,40,OPEN,ECON
730,FNGR 210,Discussion,0.00,24241,R02:20PM - 03:10PM,01/14/13 - 04/29/13,,41,OPEN,ECON
731,AMES B105,Principles of Economics,3.00,22101,TR08:30AM - 09:45AM,01/14/13 - 04/29/13,"Allahrakha, M",MV,CLOSED,ECON
732,1957 E 113,Principles of Economics,3.00,20154,TR02:20PM - 03:10PM,01/14/13 - 04/29/13,"Foster, I",10,OPEN,ECON
733,ROME 459,Discussion,0.00,20158,F08:00AM - 08:50AM,01/14/13 - 04/29/13,"Xu, C; Foster, I",30,CLOSED,ECON
734,ROME 352,Discussion,0.00,20159,F09:35AM - 10:25AM,01/14/13 - 04/29/13,"Foster, I; Xu, C",31,CLOSED,ECON
735,MON 353,Discussion,0.00,20160,F11:10AM - 12:00PM,01/14/13 - 04/29/13,"Foster, I; Xu, C",32,CLOSED,ECON
736,ROME 459,Discussion,0.00,20161,F12:45PM - 01:35PM,01/14/13 - 04/29/13,"Lee, S; Foster, I",33,CLOSED,ECON
737,PHIL 110,Discussion,0.00,20162,F02:20PM - 03:10PM,01/14/13 - 04/29/13,"Lee, S; Foster, I",34,CLOSED,ECON
